polymer,system,A2_unnormalized,deltaGmin,deltaGmax,N,A2_normalized,A2_normalized_win10,A2_normalized_win20,A2_normalized_win30,deltaGmax_win10,deltaGmax_win20,deltaGmax_win30
2449,fe_virial_batch_100k_17_0,-168.39211969704482,0.0,1.7899227951341767,42,-0.09546038531578505,-0.11260424135683962,-0.12268087307002146,-0.10580578135353653,1.7458073530061047,1.645038579489577,1.5361840336863883
2450,fe_virial_batch_100k_17_0,-176.62389958052023,0.0,0.6577484935403233,36,-0.13628387313311746,-0.08183744285780868,-0.08920497382610866,-0.08866567313061813,0.6304272641172148,0.5659441517117983,0.491273574427129
2451,fe_virial_batch_100k_17_0,173.18896323992894,0.0,0.4593560755716213,36,0.13363345929006862,0.09558890737957168,0.062464695773483986,0.04711798390220649,0.4107225196727705,0.3461005794895761,0.2903053357423869
2452,fe_virial_batch_100k_17_0,-166.31813601058,0.0,0.12048027131809952,36,-0.12833189506989195,-0.1962249294019247,-0.2053015559467159,-0.16672126778320642,0.039554249087925986,0.008977045041367593,0.004779558652313165
2453,fe_virial_batch_100k_17_0,141.0801411567264,0.0,0.7306844618008435,36,0.10885813360858518,0.12430394763207855,0.11627781307036851,0.12960618529010806,0.6908811974505481,0.6470084072673541,0.5913666373900923
2454,fe_virial_batch_100k_17_0,-263.12273000884835,0.0,0.17085574107230372,36,-0.2030267978463336,-0.26469115471339344,-0.2678154725383423,-0.23121756497649867,0.10109519745054812,0.03264453504513132,0.0015987364300909523
2455,fe_virial_batch_100k_17_0,67.01185659240952,0.0,0.9237527375432091,38,0.04640710290333069,0.05580576626145246,0.028725726486894643,0.018763512777017956,0.8855712085616596,0.8045402617080345,0.7138586114641658
2456,fe_virial_batch_100k_17_0,48.69100965497085,0.0,0.9123410708765435,38,0.03371953577214048,0.002816351427704006,-0.018413115659846352,-0.02671286514104427,0.8456989752283265,0.769566572819145,0.6713706336863885
2457,fe_virial_batch_100k_17_0,-258.7415681724729,0.0,0.8282478521834151,38,-0.17918391147678178,-0.13948006769606694,-0.11103288735477626,-0.0672973757694286,0.7958292863394368,0.7095914339302564,0.6156945818345363
2458,fe_virial_batch_100k_17_0,-37.196728111472424,0.0,0.7343031855167491,38,-0.025759507002404727,-0.1038946359614159,-0.14499378751194553,-0.08009651419896774,0.6024400863394366,0.5109394839302561,0.4815677299826848
2459,fe_virial_batch_100k_17_0,30.267423451559512,0.0,0.9548754365369516,38,0.020960819564791906,-0.01629383779860094,-0.014341179606501902,-0.02690748372383433,0.854079064117215,0.7464475283747005,0.6271668003530553
2460,fe_virial_batch_100k_17_0,-32.27904020270413,0.0,1.5779579632945266,40,-0.02017440012669008,0.004701165336992596,-6.84167719786513e-05,0.013632924153651766,1.497989554350308,1.3650625005969228,1.2494687818345365
2461,fe_virial_batch_100k_17_0,-155.66151663542053,0.0,0.9084502713181006,40,-0.09728844789713782,-0.024400517795564694,-0.00791405202404471,0.005403043618703723,0.8756038641172148,0.855333801711799,0.8200534633160181
2462,fe_virial_batch_100k_17_0,-109.2363708145009,0.0,1.3816177157625447,40,-0.06827273175906307,-0.12203476851168457,-0.1298702815421183,-0.13189358727396117,1.304774675228327,1.2018504794895764,1.0892121040567588
2463,fe_virial_batch_100k_17_0,71.20769999373911,0.0,1.0129544042098755,40,0.04450481249608695,0.07508540268275053,0.0957738924623493,0.08606440783714986,0.9953410196727702,0.9447009461562434,0.8716030299826849
2464,fe_virial_batch_100k_17_0,-56.64147460594849,0.0,1.618411963294527,40,-0.0354009216287178,-0.008458026992084495,-0.012256237526934732,-0.020663457302119617,1.5780872863394384,1.4685607906006874,1.3199479892419435
2465,fe_virial_batch_100k_17_0,275.386032076838,0.0,1.744882715762544,42,0.15611453065580383,0.1706280025659387,0.14929124932120552,0.11497374102885274,1.688413241894993,1.6045098228191463,1.478857607760463
2466,fe_virial_batch_100k_17_0,303.8153650959173,0.0,1.39118029662786,42,0.17223093259405742,0.08344207510629413,0.05128042899209152,0.03659164267141501,1.26315721967277,1.1981494961562429,1.1346278225752773
2467,fe_virial_batch_100k_17_0,62.07272039383987,0.0,1.1085346264320977,42,0.035188617003310586,0.01763310080359996,0.02349673864457148,0.029095852274569237,1.0668651863394365,1.0003218672635898,0.9431231633160184
2468,fe_virial_batch_100k_17_0,-283.129982164048,0.0,1.6297865476480635,42,-0.16050452503630838,-0.14838901517988967,-0.13155179874421688,-0.11836487812496517,1.5646818641172142,1.4187433117080346,1.2622213003530551
2469,fe_virial_batch_100k_17_0,-227.55244775223377,0.0,1.1584765200160658,42,-0.12899798625410078,-0.11125914108095165,-0.11215284533101279,-0.0882727592868412,1.1425936863394377,1.0748734283747012,1.0243531225752769
2470,fe_virial_batch_100k_17_0,285.4682312540126,0.0,1.640045852183416,44,0.14745259878822967,0.1196347491940036,0.10445123329945395,0.08865190733338586,1.5654854418949933,1.4824182183784644,1.401478200353055
2471,fe_virial_batch_100k_17_0,211.7848991869379,0.0,1.7612048486543206,44,0.10939302643953404,0.1004355349314599,0.10083949154909275,0.11472575796282698,1.7333514974505473,1.6670226406006876,1.6010325003530548
