polymer,system,A2_unnormalized,deltaGmin,N,A2_normalized
2667,fe_virial_batch_100k18,80.66247474642068,0.0,34,0.06977722728929125
2668,fe_virial_batch_100k18,92.27802145209901,0.0,34,0.07982527807275001
2669,fe_virial_batch_100k18,55.26106181828527,0.0,34,0.0478036866940184
2670,fe_virial_batch_100k18,29.463703044621663,0.0,36,0.022734338768998198
2671,fe_virial_batch_100k18,80.40687640547682,0.0,36,0.06204234290546051
2672,fe_virial_batch_100k18,-43.08866962707938,0.0,36,-0.033247430267808166
2673,fe_virial_batch_100k18,164.92626065839738,0.0,36,0.12725791717468934
2674,fe_virial_batch_100k18,70.94234772886705,0.0,36,0.054739465840175194
2675,fe_virial_batch_100k18,-119.42781901604809,0.0,30,-0.1326975766844979
2676,fe_virial_batch_100k18,-96.54524977610046,0.0,30,-0.10727249975122273
2677,fe_virial_batch_100k18,-64.17474167943014,0.0,30,-0.07130526853270015
2678,fe_virial_batch_100k18,-23.440870260363766,0.0,30,-0.026045411400404186
2679,fe_virial_batch_100k18,-101.54842551205337,0.0,30,-0.11283158390228153
2680,fe_virial_batch_100k18,-11.176290556802948,0.0,32,-0.01091434624687788
2681,fe_virial_batch_100k18,-172.69439426542675,0.0,32,-0.1686468693998308
2682,fe_virial_batch_100k18,-34.68011617050439,0.0,32,-0.033867300947758194
2683,fe_virial_batch_100k18,147.04207474432067,0.0,32,0.14359577611750066
2684,fe_virial_batch_100k18,46.15237159014835,0.0,32,0.045070675381004247
2685,fe_virial_batch_100k18,43.883693966866254,0.0,34,0.037961672981718216
2686,fe_virial_batch_100k18,6.718481624766454,0.0,34,0.005811835315541915
2687,fe_virial_batch_100k18,223.34693240263366,0.0,34,0.1932066889296139
2688,fe_virial_batch_100k18,51.911852104546476,0.0,34,0.04490644645722013
2689,fe_virial_batch_100k18,113.67211725599256,0.0,34,0.09833228136331536
2690,fe_virial_batch_100k18,67.5307941184844,0.0,36,0.05210709422722561
2691,fe_virial_batch_100k18,43.1733165322301,0.0,36,0.03331274423783187
2692,fe_virial_batch_100k18,-121.73946153575167,0.0,36,-0.0939347697035121
2693,fe_virial_batch_100k18,196.90504705151736,0.0,36,0.1519329066755535
2694,fe_virial_batch_100k18,-37.008060516090765,0.0,36,-0.028555602250070033
2695,fe_virial_batch_100k18,15.898822250009083,0.0,38,0.011010264716072773
2696,fe_virial_batch_100k18,98.41330154129285,0.0,38,0.06815325591502275
2697,fe_virial_batch_100k18,20.379657648227465,0.0,38,0.014113336321487164
2698,fe_virial_batch_100k18,51.0678665127276,0.0,38,0.03536555852681966
2699,fe_virial_batch_100k18,-34.42259281940888,0.0,38,-0.023838360678260995
2700,fe_virial_batch_100k19,-2.3650890757686613,0.0,32,-0.0023096573005553333
2701,fe_virial_batch_100k19,19.973467665047423,0.0,32,0.019505339516647874
2702,fe_virial_batch_100k19,-80.23195231070984,0.0,32,-0.07835151592842758
2703,fe_virial_batch_100k19,-211.2881899411059,-0.6498818947052251,32,-0.20633612298936124
2704,fe_virial_batch_100k19,-5.79644820686031,0.0,32,-0.0056605939520120215
2705,fe_virial_batch_100k19,79.5802482561893,0.0,34,0.068841045204316
2706,fe_virial_batch_100k19,42.812586793719674,0.0,34,0.03703510968314851
2707,fe_virial_batch_100k19,-84.9012981293376,0.0,34,-0.07344402952364845
2708,fe_virial_batch_100k19,-191.37009734967694,0.0,34,-0.16554506691148524
2709,fe_virial_batch_100k19,-3.825333855552887,0.0,34,-0.003309112331793155
2710,fe_virial_batch_100k19,-166.08719337679375,0.0,36,-0.12815369859320505
2711,fe_virial_batch_100k19,-23.066802907038024,0.0,36,-0.017798459033208352
2712,fe_virial_batch_100k19,-91.14129729178237,0.0,36,-0.07032507507081973
2713,fe_virial_batch_100k19,36.90327175592618,0.0,36,0.02847474672525168
2714,fe_virial_batch_100k19,17.444948802168714,0.0,36,0.0134606086436487
2715,fe_virial_batch_100k19,162.0964147960121,0.0,38,0.1122551349002854
2716,fe_virial_batch_100k19,-78.70490317412344,0.0,38,-0.05450478059149823
2717,fe_virial_batch_100k19,65.1847801555563,0.0,38,0.0451418145121581
2718,fe_virial_batch_100k19,47.60384928709828,0.0,38,0.03296665463095449
2719,fe_virial_batch_100k19,46.55813351498817,0.0,38,0.03224247473337131
2720,fe_virial_batch_100k19,54.573644161293586,0.0,40,0.03410852760080849
2721,fe_virial_batch_100k19,91.59524234289526,0.0,40,0.05724702646430954
