[W],[Ta],[Tr],[R],total_count,R_avg_cluster_size,Ta_avg_cluster_size,Tr_avg_cluster_size,W_avg_cluster_size,num_cluster_types,max_cluster_size,R_no_of_cluster,Ta_no_of_cluster,Tr_no_of_cluster,W_no_of_cluster,R_max_cluster_size,Ta_max_cluster_size,Tr_max_cluster_size,W_max_cluster_size,deltaGmin,A2_normalized
6.0,6.0,6.0,4.0,22,0.0,0.0,2.0,2.0,4,2,0,0,2,1,0,0,2,2,-7.092582244444446,-0.2422746787164057
6.0,6.0,6.0,4.0,22,2.0,0.0,0.0,2.0,4,2,1,0,0,1,2,0,0,2,-6.712292844444447,-0.12051506637701405
6.0,6.0,6.0,4.0,22,0.0,3.0,0.0,2.5,4,3,0,1,0,2,0,3,0,3,-7.372770866666667,0.4020312570168382
6.0,6.0,6.0,4.0,22,2.0,2.5,2.5,2.5,4,3,1,2,2,2,2,3,3,3,-7.438979288888889,-0.08448450077021623
8.0,6.0,6.0,4.0,24,2.0,2.0,2.0,4.0,4,4,1,1,1,1,2,2,2,4,-8.743779111111111,0.047730859220536936
8.0,6.0,6.0,4.0,24,2.0,2.0,0.0,4.0,4,4,1,1,0,1,2,2,0,4,-7.693382088888888,-0.1330093074459621
8.0,6.0,6.0,4.0,24,2.0,2.0,2.0,2.0,4,2,1,1,1,2,2,2,2,2,-6.936312888888887,-0.16574333249172116
8.0,6.0,6.0,4.0,24,0.0,2.0,3.0,2.0,4,4,0,1,2,4,0,2,4,2,-6.9132042222222205,-0.06981722939485199
8.0,6.0,6.0,4.0,24,0.0,2.0,2.0,2.0,4,2,0,1,2,1,0,2,2,2,-6.0207060666666665,0.03675390645627343
10.0,6.0,6.0,4.0,26,2.0,2.0,0.0,2.0,4,2,1,1,0,2,2,2,0,2,-7.2076745111111125,0.06310791302031138
10.0,6.0,6.0,4.0,26,2.0,0.0,0.0,2.0,4,2,1,0,0,1,2,0,0,2,-6.064407222222222,0.19537919055715505
10.0,6.0,6.0,4.0,26,2.0,2.5,2.0,4.0,4,4,1,2,2,2,2,3,2,4,-7.281141933333334,0.13860658092201808
10.0,6.0,6.0,4.0,26,2.0,0.0,2.0,2.333333333333333,4,3,1,0,1,3,2,0,2,3,-6.5864530444444505,0.14104467663645995
10.0,6.0,6.0,4.0,26,2.0,2.0,2.0,3.0,4,4,1,1,1,2,2,2,2,4,-6.212125199999997,0.013106858954733756
